Price,Period,Description,Location
"₦ 3,000,000",per annum,"3bdrm Apartment in Ikota, Lagos State for rent",
"₦ 7,000,000",per annum,"4bdrm Duplex in Lekki Conservation, Lagos State for rent",
"₦ 18,000,000",per annum,"4bdrm Duplex in Pinnock Beach Estate, Osapa london for rent","Lekki, Osapa london"
"₦ 5,000,000",per annum,2bdrm Block of Flats in Ologolo for rent,"Lekki, Ologolo"
"₦ 6,500,000",per annum,3bdrm Duplex in Harris Drive Between for rent,"Ajah, VGC / Ajah"
"₦ 400,000",per month,Furnished Studio Apartment in Ikota for rent,"Lekki, Ikota"
"₦ 300,000",per annum,Studio Apartment in Alimosho for rent,Alimosho
"₦ 800,000",per annum,Mini Flat in Itire for rent,"Surulere, Itire"
"₦ 1,400,000",per annum,"Mini Flat in Opposite Sangotedo, Ajah for rent",Ajah
"₦ 5,000,000",per annum,"1bdrm Room & Parlour in Salem Ikate, Lekki for rent",Lekki
"₦ 7,500,000",per annum,2bdrm Apartment in Ikate Lagos for rent,"Lekki, Ikate"
"₦ 4,000,000",,"8bdrm Block of Flats in Paradise Estate, Ibeju for Rent",Ibeju
"₦ 5,000,000",per annum,3bdrm Block of Flats in Lekki Scheme2 Ajah for rent,Ajah
"₦ 3,700,000",per annum,"3bdrm Villa in Ikota Villa Estate, Lekki for rent",Lekki
"₦ 2,500,000",per annum,Furnished 1bdrm Apartment in Ologolo Lekki for rent,Lekki
"₦ 4,000,000",per annum,"2bdrm Apartment in Chevron Alternative, Lekki for rent",Lekki
"₦ 2,500,000",per annum,"Mini Flat in Ikota Estate, Lekki for rent",Lekki
"₦ 850,000",per annum,"Studio Apartment in Shangotedo Close To, Ajah for rent",Ajah
"₦ 2,000,000",per annum,Furnished Studio Apartment in Ologolo Lekki for rent,Lekki
"₦ 1,500,000",per annum,"Studio Apartment in Ikota First Gate, Lekki for rent",Lekki
"₦ 2,500,000",per annum,"2bdrm Apartment in Ologolo Mayegun, Lekki for rent",Lekki
"₦ 3,500,000",per annum,"2bdrm Block of Flats in Orchid Hotel Road, Lekki for rent",Lekki
"₦ 7,000,000",per annum,"3bdrm Duplex in Ajah, Lagos State for rent",
"₦ 35,000,000",per annum,"3bdrm Penthouse in Bourdillon, Lagos State for rent",
"₦ 2,500,000",per annum,"1bdrm Shared Apartment in Chevron Alternative, Lekki for rent",Lekki
"₦ 10,000,000",per annum,2bdrm Apartment in Lekki Phase 1 for rent,Lekki
"₦ 14,000,000",per annum,4bdrm Duplex in Lekki Conservation for rent,Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid, Lagos State for rent",
"₦ 6,000,000",per annum,3bdrm Apartment in Oral Estate Lekki for rent,Lekki
"₦ 7,000,000",per annum,"4bdrm Townhouse / Terrace in Ikota Villa Estate, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"Furnished 2bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 9,000,000",per annum,"Furnished 1bdrm Penthouse in Ikate, Lekki for rent",Lekki
"₦ 35,000,000",per annum,"Furnished 3bdrm Apartment in Ikoyi, Lekki for rent",Lekki
"₦ 50,000,000",per annum,"Furnished 3bdrm Bedsitter in Banana Island, Lekki for rent",Lekki
"₦ 25,000,000",per annum,Furnished 4bdrm Townhouse / Terrace in Lekki Phase 1 for rent,Lekki
"₦ 12,000,000",per annum,"Furnished 2bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 13,500,000",per annum,2bdrm Apartment in Lekki Phase1 for rent,Lekki
"₦ 9,000,000",per annum,"4bdrm Duplex in Ologolo, Lekki for rent",Lekki
"₦ 20,000,000",per annum,"5bdrm Duplex in Ikate, Lekki for rent",Lekki
"₦ 15,000,000",per annum,"3bdrm Apartment in Old Ikoyi, Lekki for rent",Lekki
"₦ 6,500,000",per annum,4bdrm Duplex in Lekki Conservation for rent,Lekki
"₦ 5,000,000",per annum,"2bdrm Apartment in Orchid, Lagos State for rent",
"₦ 12,000,000",per annum,2bdrm Apartment in Lekki Phase 1 for rent,Lekki
"₦ 15,000,000",per annum,Furnished 2bdrm Apartment in Lekki Phase1 for rent,Lekki
"₦ 13,000,000",per annum,"Furnished 2bdrm Townhouse / Terrace in Salem Ikate, Lekki for rent",Lekki
"₦ 8,000,000",per annum,1bdrm Room & Parlour in Lekki Phase 1 for rent,Lekki
"₦ 10,000,000",per annum,"2bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"4bdrm Duplex in Ikota, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"Furnished 2bdrm Apartment in Osapa London, Lekki for rent",Lekki
"₦ 23,000,000",per annum,"3bdrm Apartment in Eko Atlantic, Lekki for rent",Lekki
"₦ 15,000,000",per annum,"3bdrm Apartment in Victoria Island, Lekki for rent",Lekki
"₦ 8,000,000",per annum,Furnished 1bdrm Room & Parlour in Ologolo Lekki for rent,Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid Road, Lekki for rent",Lekki
"₦ 8,500,000",per annum,1bdrm Room & Parlour in Lekki Phase 1 for rent,Lekki
